LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
893,3133,123523,Primary,8,18,3,7.4,8.2,2.8,30.9,"£41,998"
893,3134,123524,Primary,11,13,3,11,7.1,1.9,19.6,"£33,929"
893,3135,123525,Primary,5,10,2,4.8,2.8,1.6,19.8,"£37,834"
893,3155,123528,Primary,7,7,1,5.8,3.3,1,24.1,"£40,853"
893,3156,123529,Primary,13,19,1,8.3,8,0.8,25.7,"£40,869"
893,3159,123532,Primary,6,12,1,4.8,6,0.9,19,"£39,109"
893,3160,130931,Primary,7,16,1,6.1,7.9,1,25.1,"£41,422"
893,3301,123534,Primary,11,13,3,9,7.7,2.4,19.6,"£36,329"
893,3303,142142,Primary,5,9,3,5,4.5,1.3,20.4,"£38,025"
893,3305,123536,Primary,8,12,5,7.6,6.2,3.4,21.3,"£33,563"
893,3307,123537,Primary,3,5,1,2.6,3.2,0.7,25.6,"£41,425"
893,3311,123539,Primary,7,10,2,5,4.6,1.2,22.6,"£40,230"
893,3312,145673,Primary,4,8,4,3.1,3.2,2.4,23.9,"£33,336"
893,3313,123541,Primary,3,4,3,3,2.4,1.2,20,SUPP
893,3316,145275,Primary,6,13,2,6,7,1.3,22.3,"£40,801"
893,3321,123546,Primary,8,16,1,7.5,5.3,0.9,18.8,"£34,660"
893,3322,123547,Primary,3,6,2,2.5,3,0.8,16.8,"£41,335"
893,3329,123549,Primary,11,21,3,8.6,11.6,2.5,25.1,"£43,333"
893,3330,123550,Primary,13,9,4,10,5.1,1.4,16.7,"£41,614"
893,3350,123551,Primary,9,12,4,9,7.7,3.3,22.7,"£35,286"
893,3353,123553,Primary,5,7,2,5,4.4,1.3,27.2,"£40,987"
893,3354,123554,Primary,8,11,3,8,7.6,1.9,22.4,"£34,632"
893,3360,123559,Primary,5,5,1,4,2.6,0.9,20.5,"£40,891"
893,3361,123560,Primary,6,9,4,4.7,5.5,1.1,19.7,"£35,108"
893,3363,144434,Primary,15,20,9,13.4,14.2,4.3,23.4,"£38,295"
893,4001,141176,Secondary,45,7,18,42.4,6.4,15.3,13.6,"£38,831"
893,4002,143142,All through,37,23,16,32.2,14.4,8.1,17.8,"£38,612"
893,4003,143401,Secondary,59,29,26,52.5,20.2,20.5,15.8,"£37,806"
893,4368,138216,Secondary,55,21,24,49,13.4,19.3,17.2,"£39,596"
893,4376,123564,Secondary,35,15,16,30.8,8.3,12.1,15,"£39,108"
893,4385,139455,Secondary,34,10,18,29.5,6.4,15,18.6,"£42,098"
893,4387,139102,Secondary,36,28,12,30.2,21.3,10.8,17.3,"£38,946"
893,4391,139769,Secondary,63,21,27,53.1,15.1,24.9,17.1,"£41,214"
